sgRNA	Gene	Reads
HGLibA_44467	SLC17A4	655
HGLibA_04602	BMP2K	698
HGLibA_11922	CXorf40A	369
HGLibA_11097	CREB3L2	341
HGLibA_52609	UBE2G2	521
HGLibA_23301	INHBA	1449
HGLibA_46243	SOX15	1349
HGLibA_48041	SYS1	750
HGLibA_28412	MASTL	725
HGLibA_55247	ZFP92	1106
HGLibA_56824	ZNF827	181
HGLibA_43731	SFPQ	206
HGLibA_53071	UPK1B	393
HGLibA_64601	NonTargetingControlGuideForHuman_0218	601
HGLibA_20519	GTF2A1	525
HGLibA_43483	SERINC1	1240
HGLibA_55540	ZNF181	840
HGLibA_60112	hsa-mir-4431	847
HGLibA_22533	ID4	861
HGLibA_04926	BTBD9	488
HGLibA_41395	RNASE11	726
HGLibA_13099	DHDH	309
HGLibA_06369	C5orf24	1734
HGLibA_20034	GPR37L1	283
HGLibA_47966	SYNCRIP	622
HGLibA_05572	C17orf75	297
HGLibA_54493	XCL1	388
HGLibA_41799	RPA1	623
HGLibA_12976	DEPDC1B	270
HGLibA_29379	MLF2	577
HGLibA_49743	TMBIM4	347
HGLibA_07571	CCDC122	682
HGLibA_57730	hsa-mir-1304	473
HGLibA_38676	PROL1	1093
HGLibA_28475	MBD3L2	177
HGLibA_42895	SCFD2	1669
HGLibA_37755	POU2F1	85
HGLibA_03294	ASH1L	464
HGLibA_07143	CAPN1	811
HGLibA_31740	NEUROD4	494
HGLibA_07555	CCDC116	1043
HGLibA_24510	KDM4B	682
HGLibA_40991	RGAG1	173
HGLibA_52327	TUFT1	569
HGLibA_39342	PTGFRN	974
HGLibA_04269	BCCIP	997
HGLibA_27221	LRP4	278
HGLibA_32101	NLRP10	374
HGLibA_52996	UNC13B	282
HGLibA_59062	hsa-mir-3607	707
HGLibA_33866	OR2T27	301
HGLibA_03889	AVEN	458
HGLibA_49158	TFDP3	619
HGLibA_39755	QSOX1	84
HGLibA_41024	RGPD1	624
HGLibA_18130	FTO	1009
HGLibA_58036	hsa-mir-190a	1259
HGLibA_14038	DSP	524
HGLibA_38258	PQLC3	267
HGLibA_49591	TKTL2	1406
HGLibA_30415	MTMR11	16
HGLibA_36009	PEAR1	642
HGLibA_43964	SH3PXD2A	569
HGLibA_23881	IVL	1376
HGLibA_50637	TMPRSS2	423
HGLibA_53108	UQCR11	92
HGLibA_53709	VNN1	632
HGLibA_20710	GYS1	738
HGLibA_38304	PRAMEF2	574
HGLibA_51790	TRPV4	442
HGLibA_39576	PUF60	180
HGLibA_44133	SIGLEC12	547
HGLibA_33272	ODC1	361
HGLibA_30651	MYBPC2	65
HGLibA_64242	hsa-mir-891a	269
HGLibA_27088	LPHN2	182
HGLibA_29614	MOCS2	697
HGLibA_39452	PTPN20A	1671
HGLibA_28193	MAP3K6	568
HGLibA_26116	LCE1F	745
HGLibA_56430	ZNF629	372
HGLibA_48789	TCF4	1038
HGLibA_11042	CPZ	455
HGLibA_39231	PSRC1	1318
HGLibA_10293	CNIH4	985
HGLibA_12413	DCAF10	661
HGLibA_05626	C19orf10	368
HGLibA_64427	NonTargetingControlGuideForHuman_0044	645
HGLibA_25443	KRT2	355
HGLibA_32339	NOTCH1	683
HGLibA_11916	CXorf36	578
HGLibA_15674	EVA1B	990
HGLibA_53470	UTY	249
HGLibA_41924	RPL28	645
HGLibA_23051	IL1RAP	601
HGLibA_54610	XRRA1	437
HGLibA_39334	PTGES3L	666
HGLibA_35647	PCNXL2	247
HGLibA_00651	ACTR1A	1104
HGLibA_30899	MYOT	985
HGLibA_16573	FAM35A	335
HGLibA_47883	SVEP1	1347
HGLibA_29731	MPI	511
HGLibA_30729	MYH6	217
HGLibA_37775	POU3F4	786
HGLibA_65164	NonTargetingControlGuideForHuman_0781	483
HGLibA_45588	SMAD7	968
HGLibA_10124	CLRN2	690
HGLibA_22732	IFNLR1	879
HGLibA_64163	hsa-mir-8080	412
HGLibA_16080	FAM126A	297
HGLibA_09410	CHD9	727
HGLibA_13601	DNAJC22	331
HGLibA_59604	hsa-mir-3936	544
HGLibA_56706	ZNF771	420
HGLibA_38316	PRAMEF4	1380
HGLibA_11013	CPSF6	126
HGLibA_38074	PPP1R2	191
HGLibA_31792	NFE2L1	253
HGLibA_41567	RNF169	501
HGLibA_60445	hsa-mir-4505	314
HGLibA_29166	MGMT	361
HGLibA_63235	hsa-mir-6768	429
HGLibA_44469	SLC17A4	417
HGLibA_48098	SYTL2	769
HGLibA_58909	hsa-mir-3200	1147
HGLibA_09992	CLEC4F	719
HGLibA_00587	ACSS1	514
HGLibA_07785	CCDC42B	818
HGLibA_22492	ICA1L	624
HGLibA_16246	FAM168A	2003
HGLibA_63421	hsa-mir-6811	470
HGLibA_32644	NRAP	777
HGLibA_08655	CDH19	822
HGLibA_26449	LHX2	466
HGLibA_55771	ZNF300	301
HGLibA_28010	MAGOHB	729
HGLibA_38961	PRSS55	163
HGLibA_15810	EXTL2	775
HGLibA_27175	LRIG1	327
HGLibA_15020	EMC7	423
HGLibA_44233	SIRT7	910
HGLibA_05747	C1orf111	1247
HGLibA_18827	GCSAM	1541
HGLibA_24395	KCNT2	150
HGLibA_62492	hsa-mir-600	326
HGLibA_36441	PHOSPHO1	733
HGLibA_14742	EIF2B3	1062
HGLibA_55285	ZFYVE26	1496
HGLibA_65250	NonTargetingControlGuideForHuman_0867	825
HGLibA_10292	CNIH4	429
HGLibA_31346	NCOA5	979
HGLibA_48403	TAS2R40	588
HGLibA_06512	C6orf89	305
HGLibA_16988	FBXL17	704
HGLibA_39487	PTPRB	652
HGLibA_48106	SYTL4	816
HGLibA_07956	CCKAR	1091
HGLibA_26670	LMBR1	1244
HGLibA_24273	KCNJ2	528
HGLibA_41012	RGMA	258
HGLibA_26176	LCN15	496
HGLibA_61046	hsa-mir-4737	164
HGLibA_00880	ADAT2	625
HGLibA_27486	LRRTM1	119
HGLibA_20855	HARS	420
HGLibA_03548	ATP10B	645
HGLibA_50296	TMEM244	1920
HGLibA_42733	SAPCD2	488
HGLibA_05613	C18orf32	682
HGLibA_25202	KLHL38	435
HGLibA_35023	PAH	645
HGLibA_30534	MUC2	195
HGLibA_48809	TCHP	888
HGLibA_43260	SEC62	715
HGLibA_12419	DCAF12	373
HGLibA_11741	CTTN	595
HGLibA_04042	B4GALT7	163
HGLibA_09290	CFP	18
HGLibA_64677	NonTargetingControlGuideForHuman_0294	574
HGLibA_31065	NAGK	383
HGLibA_51720	TROAP	149
HGLibA_09366	CHCHD2	372
HGLibA_09963	CLEC2B	575
HGLibA_52754	UBR3	914
HGLibA_09205	CERS3	364
HGLibA_45903	SNAPC5	378
HGLibA_32493	NPM3	545
HGLibA_12229	CYSLTR2	314
HGLibA_20173	GPX2	518
HGLibA_35989	PDZD9	628
HGLibA_09975	CLEC3B	99
HGLibA_21757	HMSD	476
HGLibA_20075	GPR65	967
HGLibA_29113	MFSD7	461
HGLibA_01109	AFF2	288
HGLibA_47048	SRRM2	669
HGLibA_39533	PTPRR	1435
HGLibA_31974	NIPSNAP3A	1707
HGLibA_43035	SCP2	255
HGLibA_42684	SAMD4A	1470
HGLibA_17607	FLCN	271
HGLibA_35068	PALM	646
HGLibA_49110	TEX38	428
HGLibA_54341	WNK4	573
HGLibA_32870	NTPCR	1330
HGLibA_38570	PRKD2	944
HGLibA_40609	RBMXL3	245
HGLibA_41404	RNASE2	740
HGLibA_23221	ILK	599
HGLibA_20860	HARS2	443
HGLibA_41736	ROBO2	1150
HGLibA_13425	DMRTA1	416
HGLibA_09706	CIITA	192
HGLibA_29414	MLLT11	677
HGLibA_54067	WDR33	545
HGLibA_08144	CCR1	2312
HGLibA_28142	MAP2K2	730
HGLibA_53910	VWA5B2	944
HGLibA_50185	TMEM203	299
HGLibA_30749	MYL10	367
HGLibA_63376	hsa-mir-6800	298
HGLibA_60483	hsa-mir-4510	1098
HGLibA_01298	AHI1	498
HGLibA_00593	ACSS3	261
HGLibA_50607	TMPO	150
HGLibA_55392	ZMYM2	342
HGLibA_12653	DDX11	878
HGLibA_14957	ELOVL1	983
HGLibA_04539	BLCAP	402
HGLibA_61839	hsa-mir-548a-2	507
HGLibA_47336	STAMBP	766
HGLibA_33003	NUFIP2	239
HGLibA_11155	CRIP3	209
HGLibA_31012	NAALADL1	642
HGLibA_05874	C1orf54	633
HGLibA_03000	ARL8B	941
HGLibA_64520	NonTargetingControlGuideForHuman_0137	598
HGLibA_34562	OR9A2	687
HGLibA_62461	hsa-mir-591	504
HGLibA_46138	SOCS6	676
HGLibA_16514	FAM220A	564
HGLibA_06416	C5orf60	465
HGLibA_52587	UBE2D3	245
HGLibA_33096	NUSAP1	1179
HGLibA_16299	FAM178A	207
HGLibA_26453	LHX3	669
HGLibA_12968	DENND6B	490
HGLibA_49017	TERF2IP	1281
HGLibA_26492	LILRA2	680
HGLibA_60264	hsa-mir-4464	500
HGLibA_05612	C18orf32	340
HGLibA_03158	ART1	399
HGLibA_52223	TTPA	960
HGLibA_31560	NDUFS6	386
HGLibA_09407	CHD8	1325
HGLibA_59021	hsa-mir-340	590
HGLibA_21736	HMGXB4	538
HGLibA_29909	MRPL16	17
HGLibA_44746	SLC25A44	394
HGLibA_52453	TXNRD3NB	377
HGLibA_45568	SMAD1	452
HGLibA_23043	IL1F10	1124
HGLibA_01087	AEBP2	1316
HGLibA_41413	RNASE6	389
HGLibA_44295	SKP1	338
HGLibA_40551	RBM42	702
HGLibA_42231	RRAGC	1527
HGLibA_10664	COMMD4	717
HGLibA_13999	DSCAM	963
HGLibA_22685	IFNA6	698
HGLibA_38991	PRX	673
HGLibA_36595	PIGV	710
HGLibA_21395	HIST1H2AI	1613
HGLibA_30401	MTIF3	451
HGLibA_49252	TGM1	1011
HGLibA_03063	ARNT	858
HGLibA_28634	MCMDC2	535
HGLibA_49060	TEX13B	349
HGLibA_32123	NLRP5	983
HGLibA_14818	EIF4E1B	1468
HGLibA_09703	CIDEC	381
HGLibA_33689	OR1L3	338
HGLibA_12140	CYP2R1	311
HGLibA_08098	CCNH	306
HGLibA_55992	ZNF438	548
HGLibA_48241	TAF5	676
HGLibA_33846	OR2M7	883
HGLibA_49420	THUMPD3	627
HGLibA_24098	KBTBD13	379
HGLibA_59818	hsa-mir-4279	96
HGLibA_50100	TMEM181	1874
HGLibA_01051	ADRA2C	265
HGLibA_64058	hsa-mir-8055	767
HGLibA_24034	KANK4	905
HGLibA_04917	BTBD6	367
HGLibA_38366	PRDM10	747
HGLibA_42067	RPS12	771
HGLibA_34222	OR56B1	168
HGLibA_39734	QPRT	503
HGLibA_47026	SRPR	135
HGLibA_38472	PRICKLE2	341
HGLibA_31452	NDUFA2	380
HGLibA_01801	AMMECR1	1889
HGLibA_33460	OR10A2	1277
HGLibA_22860	IGIP	2054
HGLibA_47246	ST3GAL4	310
HGLibA_14979	ELP2	251
HGLibA_50226	TMEM217	203
HGLibA_45809	SMPD3	202
HGLibA_28509	MBNL1	956
HGLibA_08344	CD300LG	287
HGLibA_26634	LIPT1	311
HGLibA_56622	ZNF716	331
HGLibA_16402	FAM19A3	236
HGLibA_60189	hsa-mir-4446	101
HGLibA_53477	UVSSA	717
HGLibA_24021	KALRN	517
HGLibA_35145	PAPPA	481
HGLibA_43698	SF3A3	316
HGLibA_56477	ZNF660	472
HGLibA_26680	LMCD1	1120
HGLibA_52221	TTPA	1046
HGLibA_02010	ANKRD13D	558
HGLibA_42500	RXFP3	408
HGLibA_08387	CD40LG	811
HGLibA_24067	KAT7	142
HGLibA_01737	ALX3	661
HGLibA_58681	hsa-mir-3155a	1797
HGLibA_38617	PRMT1	614
HGLibA_14130	DUSP10	361
HGLibA_16181	FAM155A	1107
HGLibA_05926	C1QL2	319
HGLibA_15358	EPPIN-WFDC6	768
HGLibA_09107	CEP135	634
HGLibA_05089	C10orf68	363
HGLibA_40830	REM1	712
HGLibA_39990	RAB9A	255
HGLibA_63398	hsa-mir-6805	321
HGLibA_57745	hsa-mir-1307	475
HGLibA_47181	SSTR3	844
HGLibA_08896	CDX1	602
HGLibA_53292	USP19	478
HGLibA_34700	OSR1	834
HGLibA_34854	P2RX4	1620
HGLibA_43325	SEMA3C	423
HGLibA_32591	NR1I3	379
HGLibA_54403	WRAP73	1071
HGLibA_04526	BIRC7	319
HGLibA_51479	TRIM38	337
HGLibA_15585	ESR2	571
HGLibA_26471	LIAS	730
HGLibA_43504	SERPINA1	184
HGLibA_00044	AAED1	1650
HGLibA_13571	DNAJC12	176
HGLibA_40642	RBP5	335
HGLibA_18614	GAPDH	331
HGLibA_20065	GPR62	209
HGLibA_10414	CNTN5	649
HGLibA_30217	MSL3	786
HGLibA_05564	C17orf70	510
HGLibA_04629	BMPR1A	2511
HGLibA_00188	ABCC9	104
HGLibA_53735	VPS13B	1175
HGLibA_35364	PCBD2	775
HGLibA_10153	CLTCL1	963
HGLibA_29834	MRGBP	847
HGLibA_39116	PSMB6	130
HGLibA_25506	KRT40	983
HGLibA_59424	hsa-mir-378a	90
HGLibA_46657	SPIC	291
HGLibA_41171	RHOBTB1	411
HGLibA_58613	hsa-mir-3139	190
HGLibA_39245	PTAFR	299
HGLibA_26304	LENG9	846
HGLibA_44520	SLC1A5	349
HGLibA_14065	DTNA	524
HGLibA_18167	FUNDC2	605
HGLibA_09769	CKLF	428
HGLibA_34979	PADI4	456
HGLibA_59873	hsa-mir-4290	55
HGLibA_06924	CACNB3	172
HGLibA_31234	NBPF3	443
HGLibA_02457	APOA4	863
HGLibA_58833	hsa-mir-3184	513
HGLibA_27784	LYZL1	611
HGLibA_49581	TK1	359
HGLibA_15638	ETNPPL	571
HGLibA_43266	SECISBP2	414
HGLibA_46741	SPO11	504
HGLibA_15501	ERMAP	229
HGLibA_58814	hsa-mir-3180-4	111
HGLibA_22142	HS6ST1	270
HGLibA_12238	CYTH2	1073
HGLibA_10364	CNPY2	604
HGLibA_52104	TTC30A	227
HGLibA_19740	GPATCH2L	158
HGLibA_16674	FAM65C	773
HGLibA_00624	ACTL6B	495
HGLibA_39110	PSMB4	433
HGLibA_58764	hsa-mir-3173	879
HGLibA_18321	GAB1	524
HGLibA_51746	TRPC6	772
HGLibA_58356	hsa-mir-2681	428
HGLibA_01346	AIG1	648
HGLibA_53838	VSIG10	366
HGLibA_40962	RFX1	1044
HGLibA_53113	UQCRC1	662
HGLibA_09222	CES2	208
HGLibA_31528	NDUFB7	234
HGLibA_55011	ZCCHC13	338
HGLibA_46931	SRCAP	1731
HGLibA_45608	SMARCA4	341
HGLibA_10575	COL4A3BP	400
HGLibA_55608	ZNF221	1302
HGLibA_64768	NonTargetingControlGuideForHuman_0385	636
HGLibA_15165	ENPEP	481
HGLibA_06811	CA5A	199
HGLibA_21269	HHLA2	1080
HGLibA_12208	CYP51A1	1213
HGLibA_24178	KCND2	691
HGLibA_41751	ROGDI	353
HGLibA_31993	NKAIN2	983
HGLibA_19496	GNB3	419
HGLibA_16123	FAM134A	526
HGLibA_43919	SH3BGRL2	400
HGLibA_19458	GNAI3	514
HGLibA_58989	hsa-mir-330	327
HGLibA_19051	GHSR	116
HGLibA_43288	SELENBP1	411
HGLibA_53700	VN1R2	776
HGLibA_36402	PHKA1	527
HGLibA_45944	SNRNP25	551
HGLibA_23475	IPO8	838
HGLibA_41579	RNF180	1319
HGLibA_10696	COPB1	1279
HGLibA_30023	MRPL55	306
HGLibA_20874	HAUS1	187
HGLibA_49549	TINAGL1	887
HGLibA_47673	STXBP4	2673
HGLibA_01651	ALKBH3	478
HGLibA_44737	SLC25A41	464
HGLibA_19212	GKN2	427
HGLibA_24133	KCNA3	296
HGLibA_14099	DUOX2	115
HGLibA_39391	PTMA	516
HGLibA_21527	HIST2H2AB	104
HGLibA_05494	C16orf89	301
HGLibA_51904	TSPAN14	626
HGLibA_44247	SIX2	159
HGLibA_02612	AQP9	486
HGLibA_23213	ILF2	1454
HGLibA_09176	CEP89	494
HGLibA_10271	CNGA4	310
HGLibA_35053	PAK6	1351
HGLibA_32350	NOTCH3	1186
HGLibA_57263	hsa-mir-1200	886
HGLibA_33321	OGFRL1	1247
HGLibA_35919	PDLIM5	1338
HGLibA_57679	hsa-mir-1301	627
HGLibA_56955	ZP3	687
HGLibA_07685	CCDC169-SOHLH2	1382
HGLibA_38510	PRKACG	1132
HGLibA_10903	CPAMD8	1404
HGLibA_05310	C13orf35	1170
HGLibA_42349	RSPO3	448
HGLibA_46349	SPAG11B	185
HGLibA_20587	GTF3C3	365
HGLibA_27695	LYAR	818
HGLibA_30133	MS4A12	1090
HGLibA_29552	MMS19	246
HGLibA_63899	hsa-mir-760	573
HGLibA_22029	HPDL	661
HGLibA_57314	hsa-mir-1229	143
HGLibA_09391	CHD3	677
HGLibA_36650	PIK3R2	548
HGLibA_25018	KITLG	349
HGLibA_37969	PPM1D	990
HGLibA_37569	POLR2C	262
HGLibA_33109	NUTM2F	767
HGLibA_42276	RRP1B	304
HGLibA_15960	FAHD2B	551
HGLibA_35971	PDZD11	840
HGLibA_50464	TMEM60	667
HGLibA_34212	OR56A1	612
HGLibA_51147	TPM3	206
HGLibA_19660	GOLPH3L	539
HGLibA_28284	MAPK8	226
HGLibA_42098	RPS19BP1	272
HGLibA_39298	PTER	822
HGLibA_39164	PSMD14	216
HGLibA_32572	NR0B2	508
HGLibA_15747	EXOC3L4	356
HGLibA_24658	KIAA0895	517
HGLibA_24758	KIAA1432	213
HGLibA_43117	SDCCAG8	368
HGLibA_29273	MINA	1193
HGLibA_19831	GPN3	804
HGLibA_40345	RASGRP1	883
HGLibA_51027	TOR2A	339
HGLibA_39584	PUM2	418
HGLibA_29416	MLLT3	169
HGLibA_62286	hsa-mir-5692a-1	601
HGLibA_63306	hsa-mir-6782	245
HGLibA_56812	ZNF816	659
HGLibA_61838	hsa-mir-548a-1	644
HGLibA_20405	GSDMA	535
HGLibA_33978	OR4D5	330
HGLibA_34262	OR5B2	560
HGLibA_34772	OTUD6A	552
HGLibA_36134	PFAS	560
HGLibA_46751	SPOCK2	303
HGLibA_06549	C7orf49	149
HGLibA_56301	ZNF579	492
HGLibA_10697	COPB2	540
HGLibA_19243	GLG1	336
HGLibA_00499	ACOX2	318
HGLibA_63269	hsa-mir-6774	657
HGLibA_10072	CLMP	469
HGLibA_35487	PCDHB15	570
HGLibA_01765	AMELX	345
HGLibA_51821	TSC22D2	241
HGLibA_46314	SP8	1280
HGLibA_13091	DHCR24	597
HGLibA_03056	ARMCX6	934
HGLibA_59342	hsa-mir-369	516
HGLibA_39797	RAB11FIP2	543
HGLibA_53161	USB1	424
HGLibA_43593	SERPING1	718
HGLibA_23195	IL8	1203
HGLibA_27384	LRRC4C	1345
HGLibA_59696	hsa-mir-422a	1114
HGLibA_06999	CALCOCO1	407
HGLibA_00718	ADAD1	1028
HGLibA_42609	SAA1	1717
HGLibA_20308	GRIN2D	263
HGLibA_59643	hsa-mir-3960	494
HGLibA_09220	CES2	282
HGLibA_29660	MORF4L1	1362
HGLibA_01058	ADRB2	1183
HGLibA_40735	RDH11	435
HGLibA_15167	ENPP1	396
HGLibA_16670	FAM65B	400
HGLibA_24373	KCNQ3	371
HGLibA_52245	TUBA1B	496
HGLibA_18815	GCNT3	1422
HGLibA_45966	SNRPA1	1732
HGLibA_16405	FAM19A4	1263
HGLibA_02850	ARHGEF33	525
HGLibA_48905	TDRD3	1504
HGLibA_53849	VSIG4	267
HGLibA_03366	ASPSCR1	962
HGLibA_17153	FBXW7	973
HGLibA_02727	ARHGAP21	609
HGLibA_55254	ZFPM2	1303
HGLibA_00516	ACP5	330
HGLibA_42767	SASS6	217
HGLibA_01579	ALDH6A1	419
HGLibA_07704	CCDC174	874
HGLibA_61850	hsa-mir-548aa-1	2942
HGLibA_62149	hsa-mir-5571	519
HGLibA_20149	GPS1	460
HGLibA_33043	NUP210L	889
HGLibA_34569	OR9G1	221
HGLibA_12734	DDX51	824
HGLibA_57319	hsa-mir-1231	1352
HGLibA_23443	INVS	1483
HGLibA_39254	PTBP2	671
HGLibA_56330	ZNF587	182
HGLibA_00829	ADAMTS4	501
HGLibA_16443	FAM20A	319
HGLibA_58390	hsa-mir-2861	309
HGLibA_65219	NonTargetingControlGuideForHuman_0836	1243
HGLibA_22790	IGF1	571
HGLibA_49579	TK1	253
HGLibA_58282	hsa-mir-219a-2	337
HGLibA_42596	S1PR2	384
HGLibA_25093	KLHDC10	575
HGLibA_64541	NonTargetingControlGuideForHuman_0158	1027
HGLibA_39180	PSMD7	504
HGLibA_21624	HLA-DQA2	210
HGLibA_44116	SIDT2	633
HGLibA_34577	OR9I1	978
HGLibA_13739	DOCK2	677
HGLibA_61756	hsa-mir-520f	505
HGLibA_50219	TMEM215	391
HGLibA_22534	ID4	455
HGLibA_49954	TMEM138	826
HGLibA_11897	CXCR6	355
HGLibA_00979	ADIPOR1	177
HGLibA_30056	MRPS18C	329
HGLibA_40128	RAF1	235
HGLibA_58535	hsa-mir-3121	827
HGLibA_24875	KIF18A	302
HGLibA_30478	MTRNR2L3	390
HGLibA_40656	RBPMS2	148
HGLibA_60478	hsa-mir-450a-2	942
HGLibA_38275	PRAME	216
HGLibA_20741	H1FX	646
HGLibA_17043	FBXO2	391
HGLibA_29883	MROH9	831
HGLibA_62483	hsa-mir-598	773
HGLibA_43174	SDSL	457
HGLibA_19741	GPATCH2L	762
HGLibA_41823	RPE	629
HGLibA_02082	ANKRD34C	1252
HGLibA_01784	AMH	391
HGLibA_27380	LRRC4B	1230
HGLibA_56473	ZNF658	254
HGLibA_32381	NOXA1	540
HGLibA_33124	NWD1	453
HGLibA_00157	ABCC1	511
HGLibA_56619	ZNF714	1134
HGLibA_36519	PIBF1	823
HGLibA_52425	TXNDC8	364
HGLibA_11707	CTSG	374
HGLibA_22740	IFRD2	524
HGLibA_61884	hsa-mir-548ai	507
HGLibA_62217	hsa-mir-563	955
HGLibA_04173	BATF	554
HGLibA_58305	hsa-mir-224	143
HGLibA_40258	RAPGEF5	136
HGLibA_21324	HINT1	398
HGLibA_12607	DDHD2	593
HGLibA_42185	RPS6KL1	466
HGLibA_17462	FGL1	452
HGLibA_22279	HSPA2	298
HGLibA_30579	MUSTN1	295
HGLibA_42607	SAA1	1136
HGLibA_31818	NFKB2	106
HGLibA_32916	NUCKS1	937
HGLibA_33142	NXN	12
HGLibA_36376	PHF23	328
HGLibA_62425	hsa-mir-582	939
HGLibA_46076	SNX27	272
HGLibA_29128	MGARP	319
HGLibA_12250	CYTL1	671
HGLibA_52310	TUBGCP2	1658
HGLibA_61489	hsa-mir-507	1523
HGLibA_09219	CES1	479
HGLibA_25406	KREMEN2	525
HGLibA_36581	PIGR	571
HGLibA_30367	MTFR2	284
HGLibA_48823	TCN2	700
HGLibA_14943	ELMOD2	917
HGLibA_17005	FBXL3	766
HGLibA_04549	BLM	359
HGLibA_23865	ITPRIPL1	265
HGLibA_18961	GFPT2	1006
HGLibA_58061	hsa-mir-1914	323
HGLibA_23791	ITGB5	974
HGLibA_37092	PLEKHD1	460
HGLibA_51126	TPGS2	753
HGLibA_57635	hsa-mir-1290	753
HGLibA_31527	NDUFB7	187
HGLibA_45245	SLC52A1	537
HGLibA_34752	OTUB1	777
HGLibA_25549	KRT79	397
HGLibA_18298	G3BP1	1988
HGLibA_04928	BTC	114
HGLibA_57437	hsa-mir-1257	327
HGLibA_44602	SLC22A9	557
HGLibA_23302	INHBA	510
HGLibA_42823	SCAF11	750
HGLibA_21708	HMGCR	1158
HGLibA_50396	TMEM41B	814
HGLibA_06151	C2orf57	550
HGLibA_63084	hsa-mir-6733	998
HGLibA_08066	CCNB3	247
HGLibA_23337	INPP4A	507
HGLibA_03209	ASB11	702
HGLibA_16335	FAM186A	228
HGLibA_14068	DTNB	302
HGLibA_35721	PDCD11	460
HGLibA_35509	PCDHB7	512
HGLibA_11906	CXorf22	450
HGLibA_05252	C12orf49	535
HGLibA_49006	TEP1	416
HGLibA_47515	STMN1	430
HGLibA_01469	AKR1A1	1292
HGLibA_01114	AFF4	534
HGLibA_09126	CEP192	212
HGLibA_09300	CGB	1292
HGLibA_55899	ZNF385B	565
HGLibA_10174	CLYBL	445
HGLibA_47762	SULT2B1	935
HGLibA_19149	GJA5	1430
HGLibA_27959	MAGEC1	605
HGLibA_03174	ARV1	438
HGLibA_40843	REP15	726
HGLibA_37921	PPIC	976
HGLibA_44807	SLC26A8	862
HGLibA_18511	GALE	734
HGLibA_41443	RNASET2	235
HGLibA_24884	KIF1A	640
HGLibA_09466	CHM	1029
HGLibA_46213	SOWAHA	131
HGLibA_29897	MRPL12	867
HGLibA_26744	LNX1	213
HGLibA_63831	hsa-mir-7151	607
HGLibA_03645	ATP5C1	973
HGLibA_45929	SNIP1	2146
HGLibA_49329	THBS3	567
HGLibA_24446	KCTD20	457
HGLibA_62448	hsa-mir-587	207
HGLibA_46890	SPTBN5	345
HGLibA_06363	C5orf20	1123
HGLibA_37610	POLR3A	71
HGLibA_41540	RNF149	402
HGLibA_31692	NENF	776
HGLibA_36039	PELI3	573
HGLibA_08086	CCNE2	469
HGLibA_43568	SERPINB9	291
HGLibA_15682	EVC2	192
HGLibA_02153	ANKS1B	489
HGLibA_51682	TRMT2A	229
HGLibA_47219	SSX7	511
HGLibA_36012	PEBP1	581
HGLibA_19046	GHRHR	274
HGLibA_02566	APPL1	246
HGLibA_15999	FAM107A	238
HGLibA_40966	RFX2	244
HGLibA_26945	LOC440335	751
HGLibA_04538	BLCAP	308
HGLibA_08423	CD6	201
HGLibA_37791	POU5F2	390
HGLibA_27558	LSMEM1	1247
HGLibA_21774	HNF1A	272
HGLibA_50345	TMEM259	332
HGLibA_28245	MAP9	179
HGLibA_49654	TLR5	124
HGLibA_08007	CCL25	326
HGLibA_31826	NFKBID	770
HGLibA_41580	RNF180	618
HGLibA_65261	NonTargetingControlGuideForHuman_0878	1460
HGLibA_00017	A4GALT	1349
HGLibA_07121	CAND1	501
HGLibA_61502	hsa-mir-5089	432
HGLibA_27992	MAGEL2	519
HGLibA_28805	MED31	233
HGLibA_14149	DUSP16	308
HGLibA_63369	hsa-mir-6798	912
HGLibA_12871	DEFB121	1666
HGLibA_45762	SMIM5	664
HGLibA_00382	ACAP1	986
HGLibA_22835	IGFBPL1	214
HGLibA_50693	TMX3	537
HGLibA_40730	RDH10	897
HGLibA_23564	IRAK4	316
HGLibA_21924	HOXA9	341
HGLibA_23981	JPH2	231
HGLibA_20079	GPR75	441
HGLibA_22114	HS1BP3	464
HGLibA_52292	TUBB6	732
HGLibA_20004	GPR25	493
HGLibA_44530	SLC20A2	564
HGLibA_39806	RAB11FIP5	214
HGLibA_10564	COL3A1	241
HGLibA_45337	SLC6A7	36
HGLibA_33967	OR4D10	211
HGLibA_10362	CNPY1	1175
HGLibA_48238	TAF4B	1367
HGLibA_54918	ZBTB7B	699
HGLibA_15402	ERAL1	235
HGLibA_34185	OR52K2	771
HGLibA_57779	hsa-mir-133b	482
HGLibA_44533	SLC22A1	1017
HGLibA_32614	NR2F2	635
HGLibA_46793	SPRED2	358
HGLibA_22569	IDUA	570
HGLibA_25324	KMT2B	136
HGLibA_37081	PLEKHA7	791
HGLibA_47475	STK25	1847
HGLibA_52469	TYRO3	640
HGLibA_02322	AP3B2	567
HGLibA_27708	LYN	299
HGLibA_03111	ARRB2	210
HGLibA_65298	NonTargetingControlGuideForHuman_0915	809
HGLibA_51913	TSPAN17	365
HGLibA_00735	ADAM12	500
HGLibA_16745	FAM83C	168
HGLibA_62232	hsa-mir-568	489
HGLibA_43641	SETD1B	645
HGLibA_21167	HERC6	1496
HGLibA_51961	TSPO2	588
HGLibA_23623	IRS2	381
HGLibA_05776	C1orf151-NBL1	1437
HGLibA_53686	VMA21	103
HGLibA_33121	NVL	754
HGLibA_09947	CLEC18B	256
